surveyee,Major,year,Score,Question
s145,CS & Chemistry,,2,Q8
s146,ECE,3,3,Q8
s147,CS,2,3,Q8
s87,CS,1,5,Q9
s88,CS,1,4,Q9
s89,CS,1,5,Q9
s90,CS,2,4,Q9
s91,Industrial Engineering,4,5,Q9
s92,CS,2,3,Q9
s93,ECE,1,5,Q9
s94,ECE,2,4,Q9
s95,CS,1,5,Q9
s96,CS & Phy,1,5,Q9
s97,CS,1,2,Q9
s98,CS,1,5,Q9
s99,Chemical Engineering,2,5,Q9
s100,CS,2,5,Q9
s101,CS,3,5,Q9
s102,CS,1,5,Q9
s103,CS,1,5,Q9
s104,Math,1,5,Q9
s105,CS,1,5,Q9
s106,,,5,Q9
s107,ECE,4,4,Q9
s108,CS,2,5,Q9
s109,CS,1,5,Q9
s110,CS,1,5,Q9
s111,CS,2,5,Q9
s112,CS,1,5,Q9
s113,CS,2,5,Q9
s114,ECE,2,5,Q9
s115,ECE,2,4,Q9
s116,ECE,2,5,Q9
s117,CS,2,4,Q9
s118,CS,1,5,Q9
s119,Bioinformatics,1,3,Q9
s120,ECE,3,4,Q9
s121,Microbiology,2,4,Q9
s122,ECE,2,5,Q9
s123,CS,1,5,Q9
s124,CS,2,,Q9
s125,Chemical Engineering,graduate,5,Q9
s126,CS,2,5,Q9
s127,Math/Statistics,4,2,Q9
s128,Math,3,4,Q9
s129,CS/ Phy,1,5,Q9
s130,CS,1,5,Q9
s131,Geography,Phd,3,Q9
s134,CS,1,4,Q9
s135,CS,2019 winter,5,Q9
s136,CS,2,4,Q9
s137,CS,2,5,Q9
s138,CS,2,5,Q9
s139,ME,1,5,Q9
s140,ECE,4,3,Q9
s141,CS,1,,Q9
s142,CS,2,,Q9
s143,CS,1,3,Q9
s144,CS,,5,Q9
s145,CS & Chemistry,,1,Q9
s146,ECE,3,3,Q9
s147,CS,2,3,Q9
